leading_item_id,following_item_id,y_true,y_pred,abs_error,rel_error,is_overestimate,is_fp,corr,lag,leader_mean,follower_mean,leader_cv,follower_cv,mean_ratio,is_fn
BUZIIBYG,BJALXPFS,0,161433,161433,1.0,True,True,,,,,,,,
UXSPKBJR,BTMOEMEP,16411238,9065391,7345847,0.44761077744409045,False,,0.49127667625108407,3.0,741563.1578947369,16769950.842105264,0.7219038310705108,0.6360492144631922,22.61432578408341,
ATLDMDBO,VBYCLTYZ,614370,315703,298667,0.4861353907254586,False,,0.651984897155485,2.0,62675611.921052635,498229.3157894737,0.5315019670218069,0.5780085177077264,0.007949333090150801,
ZGJXVMNI,JSLXRQOK,273,28227,27954,1.0,True,,0.5196179874575763,5.0,2174920.8421052634,16689.61111111111,0.3916190062822348,1.9627331870433546,0.007673663697551413,
BEZYMBBT,STZDBITS,21337883,51597772,30259889,1.0,True,,0.38536920674939296,1.0,5047690.815789473,25108831.39473684,0.18652966192717593,0.4279690443993862,4.974320399378453,
APQGTRMF,GYHKIVQT,24133496,18210514,5922982,0.24542577668813503,False,,0.44744579944100904,6.0,296222.2972972973,36061995.10526316,0.6760383768143915,0.3447929440653561,121.73963754345709,
ELQGMQWE,AANGBULD,0,40464,40464,1.0,True,,0.5055281475225039,3.0,349994.84210526315,99983.34615384616,0.4098690167706989,1.3148520417131202,0.28567091318384497,
GKQIJYDH,DDEXPPXU,0,36946,36946,1.0,True,True,,,,,,,,
XMKRPGLB,BSRMSVTC,426540,239694,186846,0.4380503587002391,False,,-0.4610101352708495,2.0,1094585.2368421052,545620.6052631579,0.6049490757656183,1.1067018305691183,0.4984724687474148,
XUOIQPFL,UIFPPCLR,45158,79063,33905,0.7508082731741884,True,,0.3717340114061362,2.0,4762489.263157895,246194.07894736843,0.3834218558464716,0.6011253305314879,0.05169441133482428,
RCBZUSIM,FWUCPMMW,0,28161,28161,1.0,True,True,,,,,,,,
RCBZUSIM,JBVHSUWY,55424,238602,183178,1.0,True,,0.37388312591036915,1.0,13465.342105263158,468399.7105263158,0.7755831534472368,0.7486997552441048,34.7855781802405,
