max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda,score,f1,nmae
7,0.07,0.85,0.85,0.03,0.5,0.6344039683348199,0.8120063191153238,0.631999557835936
7,0.07,0.8,0.85,0.03,0.5,0.6344039683348199,0.8120063191153238,0.631999557835936
7,0.07,0.8,0.9,0.03,0.5,0.6344039683348199,0.8120063191153238,0.631999557835936
7,0.07,0.85,0.9,0.03,0.5,0.6344039683348199,0.8120063191153238,0.631999557835936
7,0.07,0.9,0.85,0.03,0.5,0.6344039683348199,0.8120063191153238,0.631999557835936
7,0.07,0.9,0.9,0.03,0.5,0.6344039683348199,0.8120063191153238,0.631999557835936
7,0.07,0.85,0.8,0.03,0.5,0.6321610294517861,0.8120063191153238,0.6376069050435205
7,0.07,0.8,0.8,0.03,0.5,0.6321610294517861,0.8120063191153238,0.6376069050435205
7,0.07,0.9,0.8,0.03,0.5,0.6321610294517861,0.8120063191153238,0.6376069050435205
7,0.08,0.9,0.9,0.05,0.5,0.6318976573663602,0.8120063191153238,0.6382653352570853
7,0.08,0.9,0.85,0.05,0.5,0.6318976573663602,0.8120063191153238,0.6382653352570853
7,0.08,0.8,0.85,0.05,0.5,0.6318976573663602,0.8120063191153238,0.6382653352570853
7,0.08,0.85,0.9,0.05,0.5,0.6318976573663602,0.8120063191153238,0.6382653352570853
7,0.08,0.85,0.85,0.05,0.5,0.6318976573663602,0.8120063191153238,0.6382653352570853
7,0.08,0.8,0.9,0.05,0.5,0.6318976573663602,0.8120063191153238,0.6382653352570853
7,0.08,0.85,0.9,0.03,0.6,0.631627586738043,0.8120063191153238,0.6389405118278781
7,0.08,0.8,0.9,0.03,0.6,0.631627586738043,0.8120063191153238,0.6389405118278781
7,0.08,0.85,0.85,0.03,0.6,0.631627586738043,0.8120063191153238,0.6389405118278781
7,0.08,0.9,0.9,0.03,0.6,0.631627586738043,0.8120063191153238,0.6389405118278781
7,0.08,0.9,0.85,0.03,0.6,0.631627586738043,0.8120063191153238,0.6389405118278781
7,0.08,0.8,0.85,0.03,0.6,0.631627586738043,0.8120063191153238,0.6389405118278781
7,0.08,0.9,0.8,0.05,0.4,0.6316032969580654,0.8120063191153238,0.6390012362778223
7,0.08,0.8,0.8,0.05,0.4,0.6316032969580654,0.8120063191153238,0.6390012362778223
7,0.08,0.85,0.8,0.05,0.4,0.6316032969580654,0.8120063191153238,0.6390012362778223
6,0.07,0.9,0.8,0.05,0.5,0.6315009277545943,0.8120063191153238,0.6392571592865
6,0.07,0.8,0.8,0.05,0.5,0.6315009277545943,0.8120063191153238,0.6392571592865
6,0.07,0.85,0.8,0.05,0.5,0.6315009277545943,0.8120063191153238,0.6392571592865
7,0.09,0.85,0.85,0.07,0.4,0.6312841661539115,0.8120063191153238,0.6397990632882071
7,0.09,0.8,0.9,0.07,0.4,0.6312841661539115,0.8120063191153238,0.6397990632882071
7,0.09,0.8,0.85,0.07,0.4,0.6312841661539115,0.8120063191153238,0.6397990632882071
7,0.09,0.85,0.9,0.07,0.4,0.6312841661539115,0.8120063191153238,0.6397990632882071
7,0.09,0.9,0.85,0.07,0.4,0.6312841661539115,0.8120063191153238,0.6397990632882071
7,0.09,0.9,0.9,0.07,0.4,0.6312841661539115,0.8120063191153238,0.6397990632882071
7,0.08,0.85,0.9,0.07,0.4,0.6311196564531558,0.8120063191153238,0.6402103375400963
7,0.08,0.8,0.9,0.07,0.4,0.6311196564531558,0.8120063191153238,0.6402103375400963
7,0.08,0.8,0.85,0.07,0.4,0.6311196564531558,0.8120063191153238,0.6402103375400963
7,0.08,0.9,0.85,0.07,0.4,0.6311196564531558,0.8120063191153238,0.6402103375400963
7,0.08,0.85,0.85,0.07,0.4,0.6311196564531558,0.8120063191153238,0.6402103375400963
7,0.08,0.9,0.9,0.07,0.4,0.6311196564531558,0.8120063191153238,0.6402103375400963
7,0.08,0.85,0.8,0.03,0.5,0.6310059514747676,0.8120063191153238,0.6404945999860668
7,0.08,0.8,0.8,0.03,0.5,0.6310059514747676,0.8120063191153238,0.6404945999860668
7,0.08,0.9,0.8,0.03,0.5,0.6310059514747676,0.8120063191153238,0.6404945999860668
6,0.07,0.9,0.85,0.07,0.6,0.6309422756778595,0.8120063191153238,0.6406537894783368
6,0.07,0.8,0.85,0.07,0.6,0.6309422756778595,0.8120063191153238,0.6406537894783368
6,0.07,0.8,0.9,0.07,0.6,0.6309422756778595,0.8120063191153238,0.6406537894783368
6,0.07,0.85,0.85,0.07,0.6,0.6309422756778595,0.8120063191153238,0.6406537894783368
6,0.07,0.9,0.9,0.07,0.6,0.6309422756778595,0.8120063191153238,0.6406537894783368
6,0.07,0.85,0.9,0.07,0.6,0.6309422756778595,0.8120063191153238,0.6406537894783368
5,0.08,0.85,0.8,0.07,0.5,0.6307311401573902,0.8120063191153238,0.6411816282795102
5,0.08,0.8,0.8,0.07,0.5,0.6307311401573902,0.8120063191153238,0.6411816282795102
5,0.08,0.9,0.8,0.07,0.5,0.6307311401573902,0.8120063191153238,0.6411816282795102
6,0.08,0.9,0.85,0.07,0.5,0.6306428614851005,0.8120063191153238,0.6414023249602344
6,0.08,0.85,0.9,0.07,0.5,0.6306428614851005,0.8120063191153238,0.6414023249602344
6,0.08,0.85,0.85,0.07,0.5,0.6306428614851005,0.8120063191153238,0.6414023249602344
6,0.08,0.8,0.85,0.07,0.5,0.6306428614851005,0.8120063191153238,0.6414023249602344
6,0.08,0.8,0.9,0.07,0.5,0.6306428614851005,0.8120063191153238,0.6414023249602344
6,0.08,0.9,0.9,0.07,0.5,0.6306428614851005,0.8120063191153238,0.6414023249602344
7,0.07,0.85,0.9,0.03,0.4,0.6306166449316181,0.8120063191153238,0.6414678663439406
7,0.07,0.8,0.85,0.03,0.4,0.6306166449316181,0.8120063191153238,0.6414678663439406
7,0.07,0.85,0.85,0.03,0.4,0.6306166449316181,0.8120063191153238,0.6414678663439406
7,0.07,0.9,0.85,0.03,0.4,0.6306166449316181,0.8120063191153238,0.6414678663439406
7,0.07,0.8,0.9,0.03,0.4,0.6306166449316181,0.8120063191153238,0.6414678663439406
7,0.07,0.9,0.9,0.03,0.4,0.6306166449316181,0.8120063191153238,0.6414678663439406
7,0.09,0.8,0.9,0.03,0.5,0.6305414773053442,0.8120063191153238,0.6416557854096252
